"Fibonacci modulus", "Substring", "Repetitions", "Length", "Coverage"
"HASH(0x7fce919b27b0)", "2,3,5,8,2,10,1,0,1,1", "9", "90", "90%"
"HASH(0x7fce919b4708)", "3,5,8,2,10,1,0,1,1,2", "9", "90", "90%"
"HASH(0x7fce919b6660)", "5,8,2,10,1,0,1,1,2,3", "9", "90", "90%"
"HASH(0x7fce919b7590)", "8,2,10,1,0,1,1,2,3,5", "9", "90", "90%"
"HASH(0x7fce91b66998)", "1,1,2,3,5,8,13,2,15,17,13,11,5,16,2,18,1,0", "5", "90", "90%"
"HASH(0x7fce91b6a818)", "1,2,3,5,8,13,2,15,17,13,11,5,16,2,18,1,0,1", "5", "90", "90%"
"HASH(0x7fce91b744d0)", "13,2,15,17,13,11,5,16,2,18,1,0,1,1,2,3,5,8", "5", "90", "90%"
"HASH(0x7fce91b782a8)", "15,17,13,11,5,16,2,18,1,0,1,1,2,3,5,8,13,2", "5", "90", "90%"
"HASH(0x7fce91b791d8)", "17,13,11,5,16,2,18,1,0,1,1,2,3,5,8,13,2,15", "5", "90", "90%"
"HASH(0x7fce91b76350)", "2,15,17,13,11,5,16,2,18,1,0,1,1,2,3,5,8,13", "5", "90", "90%"
"HASH(0x7fce91b6b770)", "2,3,5,8,13,2,15,17,13,11,5,16,2,18,1,0,1,1", "5", "90", "90%"
"HASH(0x7fce91b6d6c8)", "3,5,8,13,2,15,17,13,11,5,16,2,18,1,0,1,1,2", "5", "90", "90%"
"HASH(0x7fce91b70620)", "5,8,13,2,15,17,13,11,5,16,2,18,1,0,1,1,2,3", "5", "90", "90%"
"HASH(0x7fce91b71578)", "8,13,2,15,17,13,11,5,16,2,18,1,0,1,1,2,3,5", "5", "90", "90%"
"HASH(0x7fce91b8a738)", "0,1,1,2,3,5,8,13,2,15,17,13,11,5,16,2,18,1", "4", "72", "72%"
"HASH(0x7fce91b897e0)", "1,0,1,1,2,3,5,8,13,2,15,17,13,11,5,16,2,18", "4", "72", "72%"
"HASH(0x7fce91b7bfb0)", "11,5,16,2,18,1,0,1,1,2,3,5,8,13,2,15,17,13", "4", "72", "72%"
"HASH(0x7fce91b7a058)", "13,11,5,16,2,18,1,0,1,1,2,3,5,8,13,2,15,17", "4", "72", "72%"
"HASH(0x7fce91b81b88)", "16,2,18,1,0,1,1,2,3,5,8,13,2,15,17,13,11,5", "4", "72", "72%"
"HASH(0x7fce91b87960)", "18,1,0,1,1,2,3,5,8,13,2,15,17,13,11,5,16,2", "4", "72", "72%"
"HASH(0x7fce91b84a08)", "2,18,1,0,1,1,2,3,5,8,13,2,15,17,13,11,5,16", "4", "72", "72%"
"HASH(0x7fce91b7ec30)", "5,16,2,18,1,0,1,1,2,3,5,8,13,2,15,17,13,11", "4", "72", "72%"
"HASH(0x7fce91c08158)", "1,1,2,3,5,8,13,0,13,13,5,18,2,20,1,0", "6", "96", "96%"
"HASH(0x7fce91c09fd8)", "1,2,3,5,8,13,0,13,13,5,18,2,20,1,0,1", "6", "96", "96%"
"HASH(0x7fce91c0af30)", "2,3,5,8,13,0,13,13,5,18,2,20,1,0,1,1", "6", "96", "96%"
"HASH(0x7fce91c0de88)", "3,5,8,13,0,13,13,5,18,2,20,1,0,1,1,2", "6", "96", "96%"
"HASH(0x7fce91c23f70)", "0,1,1,2,3,5,8,13,0,13,13,5,18,2,20,1", "5", "80", "80%"
"HASH(0x7fce91bc71e8)", "0,13,13,5,18,2,20,1,0,1,1,2,3,5,8,13", "5", "80", "80%"
"HASH(0x7fce91c200f0)", "1,0,1,1,2,3,5,8,13,0,13,13,5,18,2,20", "5", "80", "80%"
"HASH(0x7fce91c12c90)", "13,0,13,13,5,18,2,20,1,0,1,1,2,3,5,8", "5", "80", "80%"
"HASH(0x7fce91c15a68)", "13,13,5,18,2,20,1,0,1,1,2,3,5,8,13,0", "5", "80", "80%"
"HASH(0x7fce91c168e8)", "13,5,18,2,20,1,0,1,1,2,3,5,8,13,0,13", "5", "80", "80%"
"HASH(0x7fce91c1c4c0)", "18,2,20,1,0,1,1,2,3,5,8,13,0,13,13,5", "5", "80", "80%"
"HASH(0x7fce91c1d318)", "2,20,1,0,1,1,2,3,5,8,13,0,13,13,5,18", "5", "80", "80%"
"HASH(0x7fce91c1f270)", "20,1,0,1,1,2,3,5,8,13,0,13,13,5,18,2", "5", "80", "80%"
"HASH(0x7fce91c1a768)", "5,18,2,20,1,0,1,1,2,3,5,8,13,0,13,13", "5", "80", "80%"
"HASH(0x7fce91c0ede0)", "5,8,13,0,13,13,5,18,2,20,1,0,1,1,2,3", "5", "80", "80%"
"HASH(0x7fce91c11d38)", "8,13,0,13,13,5,18,2,20,1,0,1,1,2,3,5", "5", "80", "80%"
"HASH(0x7fce91f03ef8)", "1,1,2,3,5,8,13,21,5,26,2,28,1,0", "7", "98", "98%"
"HASH(0x7fce91f05d78)", "1,2,3,5,8,13,21,5,26,2,28,1,0,1", "7", "98", "98%"
"HASH(0x7fce91f1d0e8)", "0,1,1,2,3,5,8,13,21,5,26,2,28,1", "6", "84", "84%"
"HASH(0x7fce91f1b190)", "1,0,1,1,2,3,5,8,13,21,5,26,2,28", "6", "84", "84%"
"HASH(0x7fce91f0ea30)", "13,21,5,26,2,28,1,0,1,1,2,3,5,8", "6", "84", "84%"
"HASH(0x7fce91f165b8)", "2,28,1,0,1,1,2,3,5,8,13,21,5,26", "6", "84", "84%"
"HASH(0x7fce91f06cd0)", "2,3,5,8,13,21,5,26,2,28,1,0,1,1", "6", "84", "84%"
"HASH(0x7fce91f0f960)", "21,5,26,2,28,1,0,1,1,2,3,5,8,13", "6", "84", "84%"
"HASH(0x7fce91f14738)", "26,2,28,1,0,1,1,2,3,5,8,13,21,5", "6", "84", "84%"
"HASH(0x7fce91f1a310)", "28,1,0,1,1,2,3,5,8,13,21,5,26,2", "6", "84", "84%"
"HASH(0x7fce91f0ac28)", "3,5,8,13,21,5,26,2,28,1,0,1,1,2", "6", "84", "84%"
"HASH(0x7fce91f127e0)", "5,26,2,28,1,0,1,1,2,3,5,8,13,21", "6", "84", "84%"
"HASH(0x7fce91f0bb80)", "5,8,13,21,5,26,2,28,1,0,1,1,2,3", "6", "84", "84%"
"HASH(0x7fce91f0dad8)", "8,13,21,5,26,2,28,1,0,1,1,2,3,5", "6", "84", "84%"
